Row,Annotation.ID,formula,adduct,evidence,m.z,RT,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_3405,,,,,556.1122279,10.30761802,Yes,no,iglu#10+-105.022,NA,Cluster_2598,1_layer_gnps,simil:0.863; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-105.02213560000001,1
Cluster_3406,,,,,556.1584452,11.32323455,Yes,no,angl#4+-59.063,NA,Cluster_2972,1_layer_gnps,simil:0.9021; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-59.06286679999994,1
Cluster_3411,,,,,557.2138015,6.527036062,Yes,no,iglu#1+-279.112,NA,Cluster_1277,1_layer_gnps,simil:0.8927; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-279.11159850000007,2
Cluster_3414,,,,,559.1482405,12.37495757,Yes,no,iglu#4+C5H6O,C26H29N2O10P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.04241800000005,2
Cluster_3424,,,,,562.1695381,7.397215371,Yes,no,iglu#4+-85.064,NA,Cluster_2815,1_layer_gnps,simil:0.8207; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-85.06371559999997,2
Cluster_3434,,,,,565.1222274,9.410226361,Yes,no,angl#4+-68.027,NA,Cluster_2972,1_layer_gnps,simil:0.8119; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-68.02664900000002,2
Cluster_3454,,,,,567.1179443,12.25385767,Yes,no,iglu#121+-105.022,NA,Cluster_2693,1_layer_gnps,simil:0.8442; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-105.02171879999997,1
Cluster_3465,,,,,570.1277574,11.57505944,Yes,no,iglu#10+-119.038,NA,Cluster_2598,1_layer_gnps,simil:0.8322; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-119.03766509999997,3
Cluster_3494,,,,,576.2205015,7.632627203,Yes,no,angl#4+-79.125,NA,Cluster_2972,1_layer_gnps,simil:0.9281; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-79.12492309999993,1
Cluster_3525,,,,,579.1379674,11.15648596,Yes,no,angl#4+C5H6O,C25H29N2O12P,Cluster_2972,2_layers_gnps_mass,simil:0.824; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.04238899999996,2
Cluster_3526,tyglu#8,C26H33N2O11P,[M-H]-,ms2 match,579.1740374,7.662858933,Yes,no,angl#2+-201.116,NA,Cluster_2143,1_layer_gnps,simil:0.8672; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-201.1155943,6
Cluster_3547,tyglu#14,C26H35N2O11P,[M-H]-,ms2 match,581.1899941,7.913384822,Yes,no,tyglu#8+H2,C26H35N2O11P,Cluster_3526,2_layers_gnps_mass,simil:0.93; mzdiff:Hydrogenation (+H2); homol mz:NA; homol RT:NA,NA,-2.0159567000000607,1
Cluster_3550,,,,,582.1276767,10.56157963,Yes,no,angl#2+-204.069,NA,Cluster_2143,1_layer_gnps,simil:0.8019; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-204.06923360000008,6
Cluster_3551,,,,,582.1276719,10.78216782,Yes,no,iglu#4+-105.022,NA,Cluster_2815,1_layer_gnps,simil:0.8912; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-105.02184940000001,3
Cluster_3552,,,,,582.1284117,12.00821925,Yes,no,angl#2+-204.07,NA,Cluster_2143,1_layer_gnps,simil:0.8342; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-204.06996860000004,7
Cluster_3560,,,,,583.1116933,9.97875451,No,no,iglu#6+C7H4O2,C27H25N2O11P,Cluster_5334,1_layer_mass,simil:NA; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02151769999995,2
Cluster_3569,,,,,586.2778913,13.99838364,Yes,no,iglu#8+-146.166,NA,Cluster_2523,1_layer_gnps,simil:0.8265; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-146.16602579999994,1
