"","Name...1","cest33 neg endo ms2 1","cest33 neg endo ms2 2","cest33 neg exo ms2 1","cest33 neg exo ms2 2","neg glo1 endo ms2 top5","neg glo1 exo ms2 top5","neg n2 endo ms2 top5","neg n2 exo ms2 top5","Group","Size","Name...12","Mass","m/z","RT","Adduct","Name...17","name","formula","adduct","evidence","MSI Level","Comment","ChEBI ID","SIRIUS_molecularFormula","SIRIUS_adduct"
"1156","Cluster_1156",NA,NA,NA,NA,NA,1476299.375,NA,693761.8125,"1757",2,"Cluster_1156",262.095329912919,261.088053912919,5.70372988676291,"M-H","Cluster_1156",NA,NA,NA,NA,NA,NA,NA,"",""
"1157","Cluster_1157",1532971.5,1618383.125,5810468.5,7178306,NA,NA,NA,NA,"1755",2,"Cluster_1157",262.091746852373,261.084470852373,8.32604476847252,"M-H","Cluster_1157",NA,NA,NA,NA,NA,NA,NA,"C9H10N8O2|C8H14N4O6|C11H12N5O3|C6H12N7O5|C7H15N6O3P|C10H19N2O2PS|C7H8N11O|C5H13N9O2P|C4H17N5O6P|C10H16NO7","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1158","Cluster_1158",1532971.5,1618383.125,5810468.5,7178306,NA,NA,NA,NA,"1756",2,"Cluster_1158",262.091746852373,261.084470852373,8.32604476847252,"M-H","Cluster_1158",NA,NA,NA,NA,NA,NA,NA,"",""
"1159","Cluster_1159",3107316.75,3731913,14853048,11991536,NA,NA,NA,NA,"1759",2,"Cluster_1159",262.141577158967,261.134301158967,8.57121757484197,"M-H","Cluster_1159",NA,NA,NA,NA,NA,NA,NA,"C13H18N4O2|C10H20N3O5|C11H16N7O|C9H21N5O2P|C12H22O6|C7H19N8OP|C9H14N10|C6H18N10S|C12H25NOPS|C13H26OS2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1160","Cluster_1160",358742.375,418591.6875,3158190,3131159.25,NA,163101.5,NA,NA,"1760",2,"Cluster_1160",262.153216587036,261.145940587036,6.6753172169149,"M-H","Cluster_1160",NA,NA,NA,NA,NA,NA,NA,"C11H22N2O5|C9H20N5O4|C14H20N3O2|C12H18N6O|C8H21N7OP|C10H16N9|C6H19N10P|C12H26N2S2|C13H27OPS|C11H25N3PS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1161","Cluster_1161",NA,NA,NA,NA,2383031.25,27119448,2540038.5,28717916,"1758",2,"Cluster_1161",262.141006094195,261.133730094195,6.00572277718071,"M-H","Cluster_1161",NA,NA,NA,NA,NA,NA,NA,"",""
"1162","Cluster_1162",1806498,1895554.125,8678656,7085444.5,NA,NA,NA,NA,"1765",2,"Cluster_1162",264.089602238311,263.082326238311,9.40776742739554,"M-H","Cluster_1162",NA,NA,NA,NA,NA,NA,NA,"C8H16N4O4S|C9H17N2O5P|C16H12N2O2|C14H17O3P|C6H14N7O3S|C12H15N3O2P|C14H10N5O|C13H14NO5|C10H18NO5S|C8H18N4O2P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1163","Cluster_1163",NA,NA,NA,NA,NA,615081.875,NA,796129.9375,"1764",2,"Cluster_1163",264.077567326098,263.070291326098,13.5926868241213,"M-H","Cluster_1163",NA,NA,NA,NA,NA,NA,NA,"C17H12O3|C13H8N6O|C11H13N4O2P|C10H17O6P|C9H16N2O5S|C10H12N6OS|C7H14N5O4S|C13H16N2S2|C9H18N2O3P2|C10H20N2S3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1164","Cluster_1164",NA,NA,NA,NA,NA,2341895,NA,1895335.125,"1769",2,"Cluster_1164",264.119667568078,263.112391568078,3.96491345763437,"M-H","Cluster_1164",NA,NA,NA,NA,NA,NA,NA,"C12H16N4O3|C7H16N6O5|C9H18N3O6|C10H14N7O2|C6H17N8O2P|C8H12N10O|C13H18N3OS|C9H21N4OPS|C4H15N11OP|C11H20O7","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1165","Cluster_1165",NA,NA,188155.515625,191121.796875,179767.84375,5799051.5,105231.640625,5588708,"1767",2,"Cluster_1165",264.109725561501,263.102449561501,5.77566606685707,"M-H","Cluster_1165",NA,NA,NA,NA,NA,NA,NA,"C13H16N2O4|C7H17N6O3P|C11H14N5O3|C9H12N8O2|C9H19N3O4P|C6H16N8O2S|C5H15N9O2P|C14H12N6|C9H20N4OS2|C3H13N12OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1166","Cluster_1166",3126147.75,3715692.75,17168042,12528701,NA,715701.125,NA,300366.3125,"1768",2,"Cluster_1166",264.111200975523,263.103924975523,8.42299526735849,"M-H","Cluster_1166",NA,NA,NA,NA,NA,NA,NA,"C13H16N2O4|C7H17N6O3P|C11H14N5O3|C9H19N3O4P|C8H18N5O3S|C6H16N8O2S|C5H15N9O2P|C4H14N11OS|C16H14N3O|C14H12N6","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1167","Cluster_1167",NA,NA,NA,NA,NA,2341895,NA,1895335.125,"1770",2,"Cluster_1167",264.119667568078,263.112391568078,3.96491345763437,"M-H","Cluster_1167",NA,NA,NA,NA,NA,NA,NA,"",""
"1168","Cluster_1168",1837167.75,1856559.625,2683550.75,1975661.75,NA,NA,NA,NA,"1773",2,"Cluster_1168",265.117358521251,264.110082521251,0.729270061301658,"M-H","Cluster_1168",NA,NA,NA,NA,NA,NA,NA,"C11H15N5O3|C8H17N4O6|C10H19NO7|C9H20N3O4P|C13H17N2O4|C7H18N6O3P|C7H11N11O|C11H23NO2S2|C5H16N9O2P|C9H13N8O2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1169","Cluster_1169",10686487,9772974,33088652,37188824,NA,NA,NA,NA,"1776",2,"Cluster_1169",265.155596854965,264.148320854965,1.24339666666667,"M-H","Cluster_1169",NA,NA,NA,NA,NA,NA,NA,"C10H24N3O3P|C12H26O4P|C8H22N6O2P|C12H19N5O2|C14H21N2O3|C9H23N5O2S|C12H27NOS2|C17H19N3|C7H21N8OS|C5H19N11S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1170","Cluster_1170",NA,NA,1318256.25,1108150.875,NA,NA,NA,NA,"1775",2,"Cluster_1170",265.131408316144,264.124132316144,11.2126333333333,"M-H","Cluster_1170",NA,NA,NA,NA,NA,NA,NA,"C14H19NO4|C8H20N5O3P|C7H19N7O2S|C12H17N4O3|C10H22N2O4P|C9H21N4O3S|C6H18N8O2P|C12H25O2S2|C15H15N5|C5H17N10OS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1171","Cluster_1171",NA,NA,2297934,1827657.125,438625.65625,42421576,344499.75,24721842,"1772",2,"Cluster_1171",265.099267685014,264.091991685014,8.40619004219424,"M-H","Cluster_1171",NA,NA,NA,NA,NA,NA,NA,"",""
"1172","Cluster_1172",NA,NA,3479798.75,3705785.75,NA,NA,NA,NA,"1774",2,"Cluster_1172",265.131385628552,264.124109628552,11.2401711157038,"M-H","Cluster_1172",NA,NA,NA,NA,NA,NA,NA,"C14H19NO4|C12H17N4O3|C10H22N2O4P|C9H21N4O3S|C8H20N5O3P|C7H19N7O2S|C6H18N8O2P|C12H25O2S2|C15H15N5|C5H17N10OS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1173","Cluster_1173",15158155,11909978,874814.5,1044532.8125,NA,NA,NA,NA,"1777",2,"Cluster_1173",265.941669471611,264.934393471611,0.876945149315468,"M-H","Cluster_1173",NA,NA,NA,NA,NA,NA,NA,"",""
"1174","Cluster_1174",NA,NA,NA,NA,NA,5322296.5,NA,2660652.75,"1779",2,"Cluster_1174",266.101654991152,265.094378991152,8.40545681186249,"M-H","Cluster_1174",NA,NA,NA,NA,NA,NA,NA,"",""
"1175","Cluster_1175",NA,NA,NA,NA,1598953.875,1414684,NA,339404.75,"1781",2,"Cluster_1175",266.154969969764,265.147693969764,14.7715382834854,"M-H","Cluster_1175",NA,NA,NA,NA,NA,NA,NA,"C12H26O4S|C13H22N4S|C12H28O2P2|C16H18N4|C8H22N6O2S|C5H18N10O3|C14H23N2OP|C18H20NO|C10H24N3O3S|C8H24N6P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1176","Cluster_1176",NA,NA,NA,NA,15577.1845703125,14376.9375,3221457.5,15052206,"1780",2,"Cluster_1176",266.154852891368,265.147576891368,14.8773124323384,"M-H","Cluster_1176",NA,NA,NA,NA,NA,NA,NA,"C12H26O4S|C16H18N4|C12H28O2P2|C5H18N10O3|C13H22N4S|C8H22N6O2S|C14H23N2OP|C8H24N6P2|C18H20NO|C10H26N3OP2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1177","Cluster_1177",NA,NA,NA,NA,NA,228126.234375,NA,2933887.75,"1782",3,"Cluster_1177",266.198891111797,265.191615111797,10.0593725567654,"M-H","Cluster_1177",NA,NA,NA,NA,NA,NA,NA,"C15H26N2O2|C12H28NO5|C11H29N3O2P|C13H24N5O|C9H27N6OP|C10H28N5OS|C11H22N8|C8H26N8S|C7H25N9P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1178","Cluster_1178",2131298.5,1979370.125,10653358,12073217,NA,NA,NA,NA,"1793",3,"Cluster_1178",267.153114148035,266.145838148035,1.27797713186547,"M-H","Cluster_1178",NA,NA,NA,NA,NA,NA,NA,"C8H21N5O5|C9H17N9O|C10H23N2O6|C6H19N8O4|C4H17N11O3|C7H15N12|C11H27NO2P2|C3H18N13P|C15H24O2P|C16H24ClO","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1179","Cluster_1179",5486809,7153173.5,25535058,30716316,NA,NA,NA,53236.29296875,"1784",2,"Cluster_1179",267.035523704574,266.028247704574,7.50060755127112,"M-H","Cluster_1179",NA,NA,NA,NA,NA,NA,NA,"C11H9NO7|C9H15O5S2|C7H13N3O4S2|C8H14NO5PS|C7H5N7O5|C5H10N5O6P|C6H9N3O9|C8H11O10|C9H7N4O6|C8H16NO3P3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1180","Cluster_1180",1304277.375,1467019.125,6701056.5,8026558.5,NA,NA,NA,67674.40625,"55",2,"Cluster_1180",267.101484209676,266.094208209676,7.91720543844403,"M-H","Cluster_1180",NA,NA,NA,NA,NA,NA,NA,"C7H17N5O4S|C9H19N2O5S|C11H16N4O2P|C9H14N7OP|C13H11N6O|C15H13N3O2|C6H18N7OPS|C4H13N9O5|C7H19N5O2P2|C10H20O6P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1181","Cluster_1181",674274.6875,1628283.5,5204101,6713534,NA,NA,NA,NA,"1783",2,"Cluster_1181",267.035514878003,266.028238878003,7.46408333333333,"M-H","Cluster_1181",NA,NA,NA,NA,NA,NA,NA,"",""
"1182","Cluster_1182",NA,NA,NA,NA,NA,5546989,158222.171875,2208863.5,"1785",2,"Cluster_1182",267.096818424709,266.089542424709,5.20996463927445,"M-H","Cluster_1182",NA,NA,NA,NA,NA,NA,NA,"C10H13N5O4|C8H18N3O5P|C9H17NO8|C8H11N8O3|C12H15N2O5|C6H16N6O4P|C4H14N9O3P|C8H19N4O2S2|C3H13N11O2S|C5H15N8O3S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1183","Cluster_1183",1304277.375,1467019.125,6701056.5,8026558.5,NA,NA,NA,65216.390625,"1787",2,"Cluster_1183",267.101484209676,266.094208209676,7.91720543844403,"M-H","Cluster_1183",NA,NA,NA,NA,NA,NA,NA,"",""
"1184","Cluster_1184",NA,NA,NA,NA,NA,5546989,32140.892578125,2208863.5,"1786",2,"Cluster_1184",267.096818424709,266.089542424709,5.21403333333333,"M-H","Cluster_1184",NA,NA,NA,NA,NA,NA,NA,"",""
"1185","Cluster_1185",634681.125,563581.8125,3447635.25,3710341,NA,NA,NA,NA,"1788",2,"Cluster_1185",267.101510862823,266.094234862823,7.9517,"M-H","Cluster_1185",NA,NA,NA,NA,NA,NA,NA,"",""
"1186","Cluster_1186",NA,NA,947232.875,853999.625,NA,1047385.75,139848.890625,933513.9375,"1791",2,"Cluster_1186",267.121378584464,266.114102584464,8.29271799487788,"M-H","Cluster_1186",NA,NA,NA,NA,NA,NA,NA,"C10H22NO5P|C8H20N4O4P|C6H18N7O3P|C8H21N5OS2|C12H17N3O4|C10H23N2O2S2|C8H13N9O2|C10H15N6O3|C9H19N2O7|C14H19O5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1187","Cluster_1187",NA,NA,3406319.5,3724206.5,NA,NA,NA,NA,"1790",2,"Cluster_1187",267.108855185362,266.101579185362,11.5286771341081,"M-H","Cluster_1187",NA,NA,NA,NA,NA,NA,NA,"C13H17NO5|C11H15N4O4|C9H13N7O3|C8H17N3O7|C9H21N3O2S2|C7H18N5O4P|C6H17N7O3S|C9H20N2O5P|C5H16N8O3P|C10H24NOP3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1188","Cluster_1188",NA,NA,947232.875,853999.625,NA,1047385.75,139848.890625,933513.9375,"1792",2,"Cluster_1188",267.121378584464,266.114102584464,8.29271799487788,"M-H","Cluster_1188",NA,NA,NA,NA,NA,NA,NA,"",""
"1189","Cluster_1189",NA,NA,NA,NA,NA,3811662.25,NA,8770598,"1794",2,"Cluster_1189",267.157390246476,266.150114246476,4.31908072308928,"M-H","Cluster_1189",NA,NA,NA,NA,NA,NA,NA,"C13H21N3O3|C9H17N9O|C11H19N6O2|C7H22N7O2P|C10H23N2O6|C9H24N4O3P|C6H21N9OS|C15H23O4|C5H20N10OP|C4H19N12S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1190","Cluster_1190",509091.4375,516618.875,2307171,2306442.25,NA,NA,NA,NA,"1796",2,"Cluster_1190",268.080952948105,267.073676948105,1.52490291707786,"M-H","Cluster_1190",NA,NA,NA,NA,NA,NA,NA,"C10H12N4O5|C9H16O9|C8H17N2O6P|C12H14NO6|C8H10N7O4|C10H20O4S2|C6H15N5O5P|C13H10N5O2|C4H13N8O4P|C8H18N3O3S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1191","Cluster_1191",12166677,10594740,836862.5625,702233.375,NA,NA,NA,NA,"1799",2,"Cluster_1191",268.081005600021,267.073729600021,2.69891666666667,"M-H","Cluster_1191",NA,NA,NA,NA,NA,NA,NA,"C10H12N4O5|C9H16O9|C8H10N7O4|C12H14NO6|C8H17N2O6P|C6H15N5O5P|C11H8N8O|C4H13N8O4P|C10H20O4S2|C5H14N7O4S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1192","Cluster_1192",12166677,11311482,1258748.375,1341806.5,NA,132509.875,NA,NA,"1797",2,"Cluster_1192",268.081005600021,267.073729600021,2.69705150447816,"M-H","Cluster_1192",NA,NA,NA,NA,NA,NA,NA,"C10H12N4O5|C9H16O9|C11H8N8O|C8H17N2O6P|C12H14NO6|C8H10N7O4|C10H20O4S2|C13H10N5O2|C6H15N5O5P|C11H16N4S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1193","Cluster_1193",11287876,11311482,1258748.375,1341806.5,NA,132509.875,NA,NA,"1798",2,"Cluster_1193",268.081005600021,267.073729600021,2.69705150447816,"M-H","Cluster_1193",NA,NA,NA,NA,NA,NA,NA,"",""
"1194","Cluster_1194",NA,NA,10004250,9220905,NA,NA,NA,NA,"56",2,"Cluster_1194",268.142912191257,267.135636191257,7.06414632228789,"M-H","Cluster_1194",NA,NA,NA,NA,NA,NA,NA,"",""
"1195","Cluster_1195",2260906.75,1455991.75,7944117.5,8423249,NA,NA,NA,NA,"1800",2,"Cluster_1195",268.129003259194,267.121727259194,11.2361284206624,"M-H","Cluster_1195",NA,NA,NA,NA,NA,NA,NA,"C14H20O5|C10H16N6O3|C12H18N3O4|C9H20N2O7|C8H21N4O4P|C10H24N2O2S2|C18H20S|C10H23NO5P|C11H27OP3|C10H26N2P2S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1196","Cluster_1196",NA,NA,NA,NA,289075.4375,9450028,NA,839232.5,"1802",2,"Cluster_1196",268.130789168658,267.123513168658,9.42234345750027,"M-H","Cluster_1196",NA,NA,NA,NA,NA,NA,NA,"C14H20O5|C10H16N6O3|C12H18N3O4|C9H22N3O4S|C7H20N6O3S|C15H16N4O|C8H21N4O4P|C10H23NO5P|C7H22N6OP2|C15H24S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1197","Cluster_1197",3138414.25,3082148.25,13820842,13524666,NA,NA,NA,NA,"1801",2,"Cluster_1197",268.129046172569,267.121770172569,11.1562279052538,"M-H","Cluster_1197",NA,NA,NA,NA,NA,NA,NA,"C14H20O5|C10H16N6O3|C12H18N3O4|C9H20N2O7|C8H21N4O4P|C10H24N2O2S2|C18H20S|C10H26N2P2S|C6H19N7O3P|C11H27OP3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1198","Cluster_1198",NA,NA,10004250,9220905,NA,NA,NA,NA,"1803",2,"Cluster_1198",268.142912191257,267.135636191257,7.06414632228789,"M-H","Cluster_1198",NA,NA,NA,NA,NA,NA,NA,"",""
"1199","Cluster_1199",18459.013671875,29933.935546875,NA,NA,1067843,NA,1516530,NA,"1805",2,"Cluster_1199",268.239261429695,267.231985429695,15.7824695393852,"M-H","Cluster_1199",NA,NA,NA,NA,NA,NA,NA,"C17H32O2|C13H28N6|C15H30N3O","[M - H]-|[M - H]-|[M - H]-"
"1200","Cluster_1200",NA,NA,NA,NA,837757.3125,NA,1379223.625,NA,"1804",2,"Cluster_1200",268.239245288287,267.231969288287,16.1004744221751,"M-H","Cluster_1200",NA,NA,NA,NA,NA,NA,NA,"C17H32O2|C13H28N6|C15H30N3O","[M - H]-|[M - H]-|[M - H]-"
"1201","Cluster_1201",5614795,14176147,12350619,13054482,NA,NA,NA,NA,"1809",3,"Cluster_1201",269.051443935285,268.044167935285,1.7499,"M-H","Cluster_1201",NA,NA,NA,NA,NA,NA,NA,"C7H7N7O5|C6H11N3O9|C8H13O10|C11H11NO7|C5H12N5O6P|C9H9N4O6|C7H14N2O7P|C6H8N9O2P|C10H5N8O2|C5H5N10O4","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1202","Cluster_1202",18732270,18674678,16354653,15474617,NA,NA,NA,NA,"1808",3,"Cluster_1202",269.051390935532,268.044114935532,1.79826339000744,"M-H","Cluster_1202",NA,NA,NA,NA,NA,NA,NA,"C11H11NO7|C8H13O10|C7H7N7O5|C6H11N3O9|C9H9N4O6|C5H12N5O6P|C5H5N10O4|C7H14N2O7P|C6H8N9O2P|C8H18NO3P3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1203","Cluster_1203",NA,NA,NA,NA,NA,1256765.5,NA,373014.03125,"1812",2,"Cluster_1203",269.161684211809,268.154408211809,8.63512694585679,"M-H","Cluster_1203",NA,NA,NA,NA,NA,NA,NA,"C14H23NO4|C10H19N7O2|C8H24N5O3P|C10H26N2O4P|C7H23N7O2S|C12H21N4O3|C6H22N8O2P|C5H21N10OS|C11H25O7|C15H19N5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1204","Cluster_1204",NA,NA,NA,NA,NA,601259.5625,NA,32645.798828125,"1814",2,"Cluster_1204",269.161726493855,268.154450493855,8.83303031919989,"M-H","Cluster_1204",NA,NA,NA,NA,NA,NA,NA,"",""
"1205","Cluster_1205",274535,160912.578125,1679826.125,1232449.375,NA,NA,NA,NA,"1815",2,"Cluster_1205",270.085297562594,269.078021562594,2.22957340181515,"M-H","Cluster_1205",NA,NA,NA,NA,NA,NA,NA,"C11H14N2O6|C9H12N5O5|C7H17N3O6P|C5H15N6O5P|C6H16N5O5S|C12H10N6O2|C14H12N3O3|C9H20NO4S2|C4H14N8O4S|C8H13N7O2P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1206","Cluster_1206",NA,NA,80375.890625,38723.13671875,NA,4057219,NA,10713099,"1820",2,"Cluster_1206",270.121013878811,269.113737878811,4.57637496099091,"M-H","Cluster_1206",NA,NA,NA,NA,NA,NA,NA,"",""
"1207","Cluster_1207",NA,NA,NA,NA,NA,2582664,NA,6747358,"1818",2,"Cluster_1207",270.12101156378,269.11373556378,6.56268506146115,"M-H","Cluster_1207",NA,NA,NA,NA,NA,NA,NA,"",""
"1208","Cluster_1208",NA,NA,80375.890625,38723.13671875,NA,4057219,NA,10713099,"1821",2,"Cluster_1208",270.121013878811,269.113737878811,4.57637496099091,"M-H","Cluster_1208",NA,NA,NA,NA,NA,NA,NA,"",""
"1209","Cluster_1209",NA,NA,NA,NA,NA,2582664,NA,6747358,"1819",2,"Cluster_1209",270.12101156378,269.11373556378,6.56268506146115,"M-H","Cluster_1209",NA,NA,NA,NA,NA,NA,NA,"",""
"1210","Cluster_1210",NA,NA,NA,NA,41780.140625,1194424.125,NA,1017088.625,"1824",2,"Cluster_1210",270.157264843773,269.149988843773,7.434055396923,"M-H","Cluster_1210",NA,NA,NA,NA,NA,NA,NA,"",""
"1211","Cluster_1211",NA,NA,NA,NA,NA,362649.71875,NA,254530.9375,"1822",2,"Cluster_1211",270.157086521994,269.149810521994,7.45586666666667,"M-H","Cluster_1211",NA,NA,NA,NA,NA,NA,NA,"",""
"1212","Cluster_1212",NA,NA,NA,NA,NA,2277301.75,NA,2332869.5,"1823",2,"Cluster_1212",270.157231075949,269.149955075949,7.88647238818221,"M-H","Cluster_1212",NA,NA,NA,NA,NA,NA,NA,"C13H22N2O4|C11H20N5O3|C9H18N8O2|C7H23N6O3P|C10H24NO7|C9H25N3O4P|C6H22N8O2S|C4H20N11OS|C5H21N9O2P|C2H18N14S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1213","Cluster_1213",NA,NA,102634.4765625,91626.8125,NA,5296341.5,NA,2213471,"1825",5,"Cluster_1213",270.181773851492,269.174497851492,11.2153565189725,"M-H","Cluster_1213",NA,NA,NA,NA,NA,NA,NA,"C15H26O4|C13H24N3O3|C11H22N6O2|C7H25N7O2P|C8H25ClN7O|C16H22N4|C6H24N9OS|C5H23N10OP|C6H23ClN10|C4H22N12S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1214","Cluster_1214",NA,NA,NA,NA,NA,4630565,NA,2570849.25,"1826",3,"Cluster_1214",270.182845314252,269.175569314252,11.3774882269303,"M-H","Cluster_1214",NA,NA,NA,NA,NA,NA,NA,"C15H26O4|C13H24N3O3|C11H22N6O2|C7H25N7O2P|C6H24N9OS|CH18N16O|C16H22N4|C4H22N12S|C12H25N5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1215","Cluster_1215",159052.796875,202339.109375,NA,NA,1478251.25,NA,1770550.125,NA,"1829",2,"Cluster_1215",270.253691509598,269.246415509598,16.6908895543702,"M-H","Cluster_1215",NA,NA,NA,NA,NA,NA,NA,"C17H34O2|C13H30N6|C15H32N3O","[M - H]-|[M - H]-|[M - H]-"
"1216","Cluster_1216",NA,NA,NA,NA,3496203.75,NA,3529704.5,42199.5078125,"1830",2,"Cluster_1216",270.254931722447,269.247655722447,17.0329955550072,"M-H","Cluster_1216",NA,NA,NA,NA,NA,NA,NA,"C17H34O2|C13H30N6|C15H32N3O","[M - H]-|[M - H]-|[M - H]-"
"1217","Cluster_1217",NA,NA,273216.4375,282766.65625,NA,52597.42578125,NA,198881.5625,"1831",2,"Cluster_1217",271.117172077676,270.109896077676,6.04370748268806,"M-H","Cluster_1217",NA,NA,NA,NA,NA,NA,NA,"C12H13N7O|C10H18N5O2P|C9H23N2O3S2|C14H15N4O2|C6H19N6O4S|C12H21N3S2|C4H17N9O3S|C13H22NOPS|C7H20N4O5P|C5H18N7O4P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1218","Cluster_1218",5895684.5,6400109.5,34375380,33395124,NA,358939.03125,NA,209121.375,"1842",2,"Cluster_1218",271.178866453993,270.171590453993,10.5761392528954,"M-H","Cluster_1218",NA,NA,NA,NA,NA,NA,NA,"C14H25NO4|C12H23N4O3|C15H21N5|C5H23N10OS|C13H26N3OP|C17H23N2O|C2H19N14O2|C11H24N6P|C3H21N13S|H17N17O","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"1219","Cluster_1219",215818.09375,47406.31640625,1250967.875,1325129.125,NA,276317.40625,NA,NA,"1843",2,"Cluster_1219",271.179145538893,270.171869538893,10.7697465580166,"M-H","Cluster_1219",NA,NA,NA,NA,NA,NA,NA,"C14H25NO4|C12H23N4O3|C13H26N3OP|C17H23N2O|C15H21N5|C5H23N10OS|H17N17O|C11H24N6P|C2H19N14O2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
