"","Name...1","cest33 neg endo ms2 1","cest33 neg endo ms2 2","cest33 neg exo ms2 1","cest33 neg exo ms2 2","neg glo1 endo ms2 top5","neg glo1 exo ms2 top5","neg n2 endo ms2 top5","neg n2 exo ms2 top5","Group","Size","Name...12","Mass","m/z","RT","Adduct","Name...17","name","formula","adduct","evidence","MSI Level","Comment","ChEBI ID","SIRIUS_molecularFormula","SIRIUS_adduct"
"5366","Cluster_5366",151540.265625,118055.5390625,NA,NA,310313.25,NA,532715.5,NA,"3835",2,"Cluster_5366",497.273673566329,496.266397566329,16.2597564061184,"M-H","Cluster_5366",NA,NA,NA,NA,NA,NA,NA,"C22H44NO9P|C18H40N7O7P|C21H45N3O6P2|C21H44N3O6PS|C20H42N4O8P|C23H40N5O5P|C23H46O7PS|C8H36N17O6P|C25H42N2O6P|C10H38N14O7P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5367","Cluster_5367",NA,NA,1708707.25,1493832.75,NA,NA,NA,NA,"3842",2,"Cluster_5367",499.107779996375,498.100503996375,2.71202791042853,"M-H","Cluster_5367",NA,NA,NA,NA,NA,NA,NA,"C17H26NO14P|C13H30N3O11PS2|C12H26N3O16P|C11H27N5O13P2|C18H22N5O10P|C14H26N7O7PS2|C13H22N7O12P|C12H31N5O8P2S2|C14H18N11O8P|C12H23N9O9P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5368","Cluster_5368",1037385.8125,907978,254610.203125,NA,NA,NA,NA,NA,"3848",2,"Cluster_5368",499.161211078428,498.153935078429,12.5003947871207,"M-H","Cluster_5368",NA,NA,NA,NA,NA,NA,NA,"C22H30NO10P|C21H31N3O7P2|C20H30N5O6PS|C14H34N3O12PS|C23H26N5O6P|C16H31N5O9P2|C14H36N3O10P3|C15H35NO13P2|C18H26N7O8P|C19H36NO8P3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5369","Cluster_5369",NA,NA,NA,NA,228639,NA,779958.6875,NA,"3862",2,"Cluster_5369",499.547435414448,498.540159414448,14.8994884086909,"M-H","Cluster_5369",NA,NA,NA,NA,NA,NA,NA,"",""
"5370","Cluster_5370",NA,NA,NA,NA,411509.9375,NA,241677.09375,NA,"3906",2,"Cluster_5370",505.315374894067,504.308098894067,17.4512453753045,"M-H","Cluster_5370",NA,NA,NA,NA,NA,NA,NA,"C25H48NO7P|C27H43N3O6|C22H43N5O8|C29H45O7|C18H46N6O8P|C23H39N9O4|C28H39N7O2|C24H47N3O6S|C21H44N7O5P|C25H43N7O2S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5371","Cluster_5371",NA,NA,NA,NA,NA,1487039.25,NA,1448038.125,"3958",2,"Cluster_5371",510.111060194667,509.103784194667,2.29282895614682,"M-H","Cluster_5371",NA,NA,NA,NA,NA,NA,NA,"C14H27N2O16P|C13H28N4O13P2|C15H23N6O12P|C11H19N12O10P|C9H24N10O11P2|C10H23N8O14P|C20H23N4O10P|C12H29N6O10P3|C14H24N8O9P2|C10H20N14O7P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5372","Cluster_5372",NA,NA,NA,NA,93239.796875,1971361.625,102845.2109375,NA,"3959",2,"Cluster_5372",510.229509490352,509.222233490352,7.29469034714007,"M-H","Cluster_5372",NA,NA,NA,NA,NA,NA,NA,"C22H38O13|C29H34O8|C18H34N6O11|C24H30N8O5|C15H26N16O5|C14H30N12O9|C17H35N8O8P|C13H31N14O6P|C20H26N14O3|C19H30N10O7","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5373","Cluster_5373",NA,NA,NA,NA,NA,546807.375,NA,452064.96875,"3960",2,"Cluster_5373",510.26737023752,509.26009423752,8.61740467528135,"M-H","Cluster_5373",NA,NA,NA,NA,NA,NA,NA,"C24H38N4O8|C20H34N10O6|C25H34N8O4|C18H39N8O7P|C21H42N4O8S|C23H39N6O5P|C17H38N10O6S|C19H38N6O10|C22H36N7O7|C16H30N16O4","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5374","Cluster_5374",582848.4375,603641.625,NA,NA,162681.84375,NA,86501.0078125,NA,"3971",2,"Cluster_5374",511.291251982825,510.283975982825,13.7469599944433,"M-H","Cluster_5374",NA,NA,NA,NA,NA,NA,NA,"",""
"5375","Cluster_5375",311896.40625,254027.421875,NA,NA,76880.421875,NA,265001.8125,NA,"3969",2,"Cluster_5375",511.291044239429,510.283768239429,13.8605102405767,"M-H","Cluster_5375",NA,NA,NA,NA,NA,NA,NA,"C23H46NO9P|C19H42N7O7P|C25H41N3O8|C22H47N3O6P2|C26H37N7O4|C22H45N3O8S|C23H41N7O4S|C21H45N5O5S2|C21H37N9O6|C21H44N4O8P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
