Name;name;formula;adduct;evidence;m/z;RT
Cluster_0174;;;;;134.8941372;21.06613762
Cluster_0175;;;;;134.8941228;21.375207
Cluster_0176;;;;;134.8940415;21.55628522
Cluster_0177;;;;;134.894106;21.75693486
Cluster_0178;;;;;134.8940295;21.84582375
Cluster_0179;;;;;134.8939988;19.26767519
Cluster_0180;;;;;134.8939898;19.68776488
Cluster_0181;;;;;134.8939898;19.68776488
Cluster_0182;;;;;134.8941812;18.03864745
Cluster_0183;;;;;134.8942035;18.4741419
Cluster_0184;;;;;134.8958046;16.73923951
Cluster_0185;;;;;135.0315018;1.0987038
Cluster_0186;;;;;135.0457206;7.498631869
Cluster_0187;;;;;135.0443218;7.69388226
Cluster_0188;;;;;135.0402006;6.627020729
Cluster_0189;;;;;135.0324102;2.960353369
Cluster_0190;;;;;135.031547;1.653240704
Cluster_0191;;;;;135.0443998;4.75509788
Cluster_0192;;;;;135.045584;4.932756769
Cluster_0193;;;;;136.0399914;5.185573597
Cluster_0194;;;;;136.0402823;8.706619621
Cluster_0195;;;;;136.0395138;8.963699668
Cluster_0196;;;;;136.0402045;9.488222988
Cluster_0197;;;;;136.0400663;6.199129532
Cluster_0198;;;;;136.8856665;1.078932113
Cluster_0199;;;;;136.886287;0.760138581
Cluster_0200;;;;;136.8901113;20.51867468
Cluster_0201;;;;;137.0240155;4.986954752
Cluster_0202;;;;;137.0242049;7.604736778
Cluster_0203;;;;;137.0357014;1.350516768
Cluster_0204;;;;;138.0162232;20.21692569
Cluster_0205;;;;;138.0196699;20.06951651
Cluster_0206;;;;;138.0197625;21.79178576
Cluster_0207;;;;;138.0160345;22.533017
Cluster_0208;;;;;138.0197556;22.71055925
Cluster_0209;;;;;138.0195396;19.55646028
Cluster_0210;;;;;138.0184238;19.6203198
Cluster_0211;;;;;138.0183319;19.75575235
Cluster_0212;;;;;138.0176419;19.90347194
Cluster_0213;;;;;138.0181437;19.95196169
Cluster_0214;;;;;138.0184986;22.89368961
Cluster_0215;;;;;138.0164065;23.32652783
Cluster_0216;;;;;138.0196505;24.66206465
Cluster_0217;;;;;138.0195744;24.93954219
Cluster_0218;;;;;138.0195986;5.682501048
Cluster_0219;;;;;138.0184971;5.973329162
Cluster_0220;;;;;138.0196319;6.063912724
Cluster_0221;;;;;138.0196268;6.16305675
Cluster_0222;;;;;138.0197026;6.331449083
Cluster_0223;;;;;138.018333;13.4407949
Cluster_0224;;;;;138.018438;13.54431904
Cluster_0225;;;;;138.0196227;13.65526591
Cluster_0226;;;;;138.0199096;13.67846108
Cluster_0227;;;;;138.0183897;13.79868617
Cluster_0228;;;;;138.0196797;13.99025891
Cluster_0229;;;;;138.0259198;14.01811278
Cluster_0230;;;;;138.019774;14.05295643
Cluster_0231;;;;;138.0195235;14.21704718
Cluster_0232;;;;;138.0184953;14.2843429
Cluster_0233;;;;;138.0196028;11.14977414
Cluster_0234;;;;;138.0196447;11.20033748
Cluster_0235;;;;;138.0196552;11.24631168
Cluster_0236;;;;;138.0196892;11.36241719
Cluster_0237;;;;;138.0195449;11.43401808
Cluster_0238;;;;;138.0196549;11.53875352
Cluster_0239;;;;;138.0196713;11.62997917
Cluster_0240;;;;;138.019637;12.42790023
Cluster_0241;;;;;138.0183298;12.47767639
Cluster_0242;;;;;138.0197035;12.5081086
Cluster_0243;;;;;138.018438;12.6015735
Cluster_0244;;;;;138.0198941;12.62722809
Cluster_0245;;;;;138.0196071;12.72939309
Cluster_0246;;;;;138.0196067;12.83175327
Cluster_0247;;;;;138.0195321;13.05906544
Cluster_0248;;;;;138.0178654;13.12456296
Cluster_0249;;;;;138.0183776;13.1891285
Cluster_0250;;;;;138.0198584;15.2232341
Cluster_0251;;;;;138.0195891;15.25968777
Cluster_0252;;;;;138.0195814;15.36831401
Cluster_0253;;;;;138.0195181;15.46646412
Cluster_0254;;;;;138.0184828;15.48777947
Cluster_0255;;;;;138.0198108;15.53886302
Cluster_0256;;;;;138.019509;15.60083036
