"","Row","m.z","RT","Annotation.ID","formula","adduct","evidence","MSI.Level","Comment","SIRIUS_molecularFormula","SIRIUS_adduct"
"3798","Cluster_6976",199.0443122,3.309910351,"","","","",NA,"","C9H12O3S|C9H14OP2|C5H15NO3PS|C7H12N3P2|C5H12O8|C3H13N4O2PS|C4H14N3O2S2|C5H17NOP3|C3H10N3O7|C2H4N10O2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3799","Cluster_6978",204.0053111,0.680496456,"","","","",NA,"","C6H8NO5P|C4H6N4O4P|C3H5N6O3S|C2H11N2O5P2|C2H4N7O3P|C8H3N3O4|C10H5O5|H9N5O4P2|C3H10O8P|CH5N9P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3800","Cluster_6979",208.9839095,0.836238626,"","","","",NA,"","",""
"3801","Cluster_6980",215.0330349,0.687261453,"","","","",NA,"","",""
"3802","Cluster_6982",219.0803996,0.957052245,"","","","",NA,"","",""
"3803","Cluster_6983",221.0606316,0.579262659,"","","","",NA,"","",""
"3804","Cluster_6984",221.1553317,4.885061152,"","","","",NA,"","C14H22O2|C10H25NO2P|C12H20N3O|C9H24N3OS|C8H23N4OP|C7H22N6S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3805","Cluster_6986",225.18589,6.427640996,"","","","",NA,"","C14H26O2|C12H24N3O","[M - H]-|[M - H]-"
"3806","Cluster_6988",228.160686,3.85564134,"","","","",NA,"","C12H23NO3|C10H21N4O2","[M - H]-|[M - H]-"
"3807","Cluster_3308",612.3158867,4.977788108,"GluGPNAE(16:1)","C27H52NO12P","[M - H]-","MS2",2,"","C27H52NO12P|C29H47N3O11|C28H48N5O8P|C23H48N7O10P|C31H49O12|C30H43N7O7|C25H43N9O9|C26H53N3O9P2|C25H50N4O11P|C22H49N9O7P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3808","Cluster_6991",231.135488,2.213203779,"","","","",NA,"","C10H20N2O4|C8H18N5O3|C13H18N3O|C11H16N6|C7H19N7P|C12H25PS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3809","Cluster_6992",231.1354774,0.914777831,"","","","",NA,"","C10H20N2O4|C8H18N5O3|C13H18N3O|C11H16N6|C7H19N7P|C12H25PS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3810","Cluster_6993",231.1605596,4.846826123,"","","","",NA,"","C12H24O4|C10H22N3O3|C15H22NO|C13H20N4|C9H23N5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3811","Cluster_6999",236.0924905,2.621894061,"","","","",NA,"","C5H15N7O2S|C12H15NO4|C8H11N7O2|C6H16N5O3P|C8H18N2O4P|C4H14N8O2P|C10H13N4O3|C3H13N10OS|CH11N13S|C13H11N5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3812","Cluster_7000",236.0925978,2.729709372,"","","","",NA,"","",""
"3813","Cluster_7002",237.0887019,0.965531314,"","","","",NA,"","",""
"3814","Cluster_7003",239.1297681,5.089409013,"","","","",NA,"","C13H20O4|C11H18N3O3|C8H22N3O3S|C9H23NO4P|C7H21N4O3P|C6H20N6O2S|C12H21N2OP|C16H18NO|C4H18N9OS|C14H16N4","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3815","Cluster_3449",626.2576021,4.2736337,"GluGPNAE","","","",NA,"","C22H42N7O12P|C23H38N11O8P|C26H46NO14P|C28H41N3O13|C21H43N9O9P2|C24H37N9O11|C23H41N5O15|C20H47N5O13P2|C21H46N3O16P|C27H42N5O10P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3816","Cluster_7885",632.2838351,4.532479311,"GluGPNAE(18:5)","C29H48NO12P","[M - H]-","MS2",2,"","C29H48NO12P|C19H44N11O11P|C21H39N13O10|C20H43N9O14|C23H49N5O11P2|C27H39N9O9|C16H39N15O12|C30H44N5O8P|C24H47N3O16|C24H43N9O9S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3817","Cluster_7009",244.1306178,1.165550266,"","","","",NA,"","C10H19N3O4|C8H17N6O3|C13H17N4O|C12H21O5|C11H15N7|C7H18N8P|CH17N12OS|C12H24NPS|C16H21S|C13H25S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3818","Cluster_7011",247.9947495,0.837316165,"","","","",NA,"","",""
"3819","Cluster_7012",253.1451815,4.685293409,"","","","",NA,"","",""
"3820","Cluster_7013",254.8355551,0.624709858,"","","","",NA,"","",""
"3821","Cluster_7014",256.0767673,1.00279844,"","","","",NA,"","C8H20NO4PS|C11H16NO4P|C7H19N2O4P2|C6H15N3O8|C10H15N3O3S|C6H18N4O3PS|C12H17O4S|C5H17N6O2S2|C8H13N6O2S|C4H13N6O7","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3822","Cluster_7015",257.0278852,0.907588256,"","","","",NA,"","",""
"3823","Cluster_7016",259.1193317,6.965516483,"","","","",NA,"","C12H20O6|C10H18N3O5|C11H21N2O3P|C15H18NO3|C13H16N4O2|C9H19N5O2P|C11H14N7O|C7H17N8OP|C13H24OS2|C3H18N9O3S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
