Row,m/z,RT,Annotation/ID,formula,adduct,evidence,MSI Level,Comment
Cluster_6948,137.0255887,3.638112293,4-hydroxybenzoic acid,C7H6O3,[M-H]-,MS2,2,
Cluster_0271,181.0397131,0.687052713,,,,,,
Cluster_0272,181.9751073,4.023710957,,,,,,
Cluster_0273,182.0226348,0.694374008,,,,,,
Cluster_0274,185.0216885,0.727173204,,,,,,
Cluster_0276,185.9949713,0.843647605,,,,,,
Cluster_0277,186.1146562,2.956950385,,,,,,
Cluster_0278,187.1100181,0.659818603,,,,,,
Cluster_0279,187.097291,3.431699125,,,,,,
Cluster_0280,187.1352463,4.599950018,,,,,,
Cluster_0281,187.1351758,4.837961678,,,,,,
Cluster_0284,188.0560867,0.695912349,,,,,,
Cluster_0285,188.0558537,0.86524846,,,,,,
Cluster_0286,188.1109742,4.203824612,,,,,,
Cluster_0287,189.0763257,2.683490167,,,,,,
Cluster_0288,189.9899755,0.678711121,,,,,,
Cluster_0289,191.0204691,0.742421999,,,,,,
Cluster_0290,194.968675,0.734273029,,,,,,
Cluster_0291,196.0734632,0.686657355,,,,,,
Cluster_0292,196.9760325,0.736635867,,,,,,
Cluster_0293,197.969928,4.022742433,,,,,,
Cluster_0294,198.0754258,0.943713412,,,,,,
Cluster_0296,199.1349939,3.831001931,,,,,,
Cluster_0297,199.1350262,7.323323803,,,,,,
Cluster_0299,201.0887512,0.939590953,,,,,,
Cluster_0301,201.1141922,3.749488342,,,,,,
Cluster_0302,201.1252797,0.971901233,,,,,,
Cluster_0303,201.1253527,1.296921,,,,,,
Cluster_0304,201.1253292,2.20114809,,,,,,
Cluster_0270,180.0660694,0.877819418,tyrosine,C9H11NO3,[M-H]-,MS2,2,RT: 0.723
Cluster_0307,203.0823628,2.417734644,tryptophan,C11H12N2O2,[M-H]-,MS1 + RT,1,RT: 2.399
Cluster_0308,203.1298942,3.043832546,,,,,,
Cluster_0309,205.0356334,0.941720571,,,,,,
Cluster_0311,206.0013588,0.679428999,,,,,,
Cluster_0312,206.0818209,3.193729648,,,,,,
Cluster_0313,207.0117227,3.080908237,,,,,,
Cluster_0315,210.9625389,0.726989832,,,,,,
Cluster_0316,211.9708008,0.657985844,,,,,,
Cluster_0319,213.1504072,5.032126816,,,,,,
Cluster_0320,213.964789,2.86056263,,,,,,
Cluster_0321,213.9648707,4.024701645,,,,,,
Cluster_0322,214.9961349,0.717649403,,,,,,
Cluster_0325,215.1299339,4.046085687,,,,,,
Cluster_0326,215.165592,5.324079299,,,,,,
Cluster_0327,216.9464461,0.715747629,,,,,,
Cluster_0328,217.0306622,0.687935871,,,,,,
Cluster_0306,203.0827008,1.575299301,tryptophan,C11H12N2O2,[M-H]-,MS2,2,
Cluster_0332,218.1047265,1.888962597,pantothenic acid,C9H17NO5,[M-H]-,MS2,2,
Cluster_0335,221.0606234,0.702215134,,,,,,
Cluster_0337,221.0814518,4.457175598,,,,,,
Cluster_0338,221.0939441,2.443997987,,,,,,
Cluster_0339,223.0294322,4.653655855,,,,,,
Cluster_0341,223.0857613,0.667068436,,,,,,
Cluster_0342,224.9803037,0.812133313,,,,,,
