"","Row","m.z","RT","Annotation","formula","adduct","evidence","SIRIUS_molecularFormula","SIRIUS_adduct"
"3028","Cluster_3028",433.3277497,20.6240076,"","",NA,NA,"C22H46N2O6|C19H38N12|C23H42N6O2|C18H42N8O4|C21H47N4O3P|C26H46N2OS|C21H40N9O|C20H44N5O5|C27H47O2P|C23H50N2OS2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3029","Cluster_3029",433.3339953,18.27909677,"","",NA,NA,"",""
"3030","Cluster_3030",433.3338739,19.23352707,"","",NA,NA,"C27H46O4|C17H42N10O3|C20H46N6O2S|C28H42N4|C21H47N4O3P|C13H38N16O|C24H50O4S|C23H42N6O2|C25H46N4S|C20H48N6P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3031","Cluster_3031",434.1559755,9.193025129,"","",NA,NA,"C17H28NO7P","[M + CH2O2 - H]-"
"3032","Cluster_3032",434.2521256,10.94101855,"","",NA,NA,"",""
"3033","Cluster_3033",434.2403075,15.52429638,"","",NA,NA,"",""
"3034","Cluster_3034",434.2521256,10.94101855,"","",NA,NA,"",""
"3035","Cluster_3035",435.1158247,11.19539326,"","",NA,NA,"",""
"3036","Cluster_3036",435.1158247,11.19539326,"","",NA,NA,"",""
"3037","Cluster_3037",435.2159448,12.6855969,"","",NA,NA,"",""
"3038","Cluster_3038",435.2275673,8.459354496,"","",NA,NA,"C21H32N4O6|C14H32N10O4S|C19H37N2O7P|C18H36N4O6S|C23H34NO7|C16H34N7O5S|C17H35N5O6P|C26H32N2O4|C18H38N4O4P2|C12H34N7O10","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3039","Cluster_3039",435.2159448,12.6855969,"","",NA,NA,"",""
"3040","Cluster_3040",436.2104352,11.42667333,"","",NA,NA,"C19H36NO8P","[M - H]-"
"3041","Cluster_3041",436.1559095,10.96783181,"","",NA,NA,"C13H19N13O5|C28H23NO4|C18H32NO7PS|C14H25N6O10|C10H28N7O10P|C13H27N9O4S2|C12H33N5O6P2S|C12H23N9O9|C14H35N2O7P2S|C21H23N7O2S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3042","Cluster_3042",436.2464068,13.16655907,"","",NA,NA,"",""
"3043","Cluster_3043",436.2482332,13.30349604,"","",NA,NA,"C20H40NO7P|C21H36N5O3P|C25H33N4O3|C12H31N13O5|C19H41N3O4P2|C27H35NO4|C23H38N2O4P|C17H39N6O3P2|C19H34N8O2P|C18H38N4O6P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3044","Cluster_3044",436.2482543,13.86746265,"","",NA,NA,"C21H36N5O3P|C23H31N7O2|C20H40NO7P|C25H33N4O3|C22H35N3O6|C27H35NO4|C24H37O7|C19H41N3O4P2|C15H35N9O4S|C19H39N3O6S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3045","Cluster_3045",436.2483922,14.14334362,"","",NA,NA,"C20H40NO7P|C21H40ClNO6|C21H36N5O3P|C23H31N7O2|C25H33N4O3|C22H36ClN5O2|C19H38ClN4O5|C17H37N6O5S|C15H35N9O4S|C19H39N3O6S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
