"","Row","m.z","RT","Annotation","formula","adduct","evidence","SIRIUS_molecularFormula","SIRIUS_adduct"
"851","Cluster_0851",275.114325,8.4538195,"","",NA,NA,"C12H20O7|C13H16N4O3|C11H21N2O4P|C15H18NO4|C10H18N3O6|C9H19N5O3P|C13H24O2S2|C9H12N10O|C7H17N8O2P|C9H20N6S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"852","Cluster_0852",275.1155635,8.427470372,"","",NA,NA,"",""
"853","Cluster_0853",275.1081767,8.161001264,"","",NA,NA,"",""
"854","Cluster_0854",275.150267,7.439336143,"","",NA,NA,"C13H24O6|C14H20N4O2|C12H25N2O3P|C11H22N3O5|C10H16N10|C16H22NO3|C14H28OS2|C12H18N7O|C10H23N5O2P|C8H21N8OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"855","Cluster_0855",275.1043524,7.556572712,"","",NA,NA,"C14H16N2O4|C7H16N8O2S|C10H19N3O4P|C8H17N6O3P|C11H20N2O4S|C9H18N5O3S|C12H14N5O3|C3H19N9O2PS|C12H21O5P|C15H12N6","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"856","Cluster_0856",275.1516178,7.647273167,"","",NA,NA,"C13H24O6|C12H25N2O3P|C14H20N4O2|C16H22NO3|C10H23N5O2P|C12H18N7O|C9H22N7OS|C14H28OS2|C7H20N10S|C8H21N8OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"857","Cluster_0857",275.1081767,8.161001264,"","",NA,NA,"",""
"858","Cluster_0858",276.034355,9.286190007,"","",NA,NA,"",""
"859","Cluster_0859",276.0884667,8.795739222,"","",NA,NA,"",""
"860","Cluster_0860",276.182307,10.51451013,"","",NA,NA,"C12H28N3O2P|C16H25N2O2|C13H27NO5|C11H25N4O4|C14H23N5O|C14H31NS2|C12H21N8|C8H24N9P|C9H25N8S|C10H26N6OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"861","Cluster_0861",277.1575524,7.537930917,"","",NA,NA,"",""
"862","Cluster_0862",277.1564391,7.810141521,"","",NA,NA,"",""
"863","Cluster_0863",277.1444787,14.60792906,"","",NA,NA,"C16H22O4|C12H25NO4P|C9H22N6O2S|C10H23N4O3P|C12H18N6O2|C14H20N3O3|C11H24N3O3S|C8H21N7O2P|C5H18N12S|C7H20N9OS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"864","Cluster_0864",277.1575524,7.537930917,"","",NA,NA,"",""
"865","Cluster_0865",277.1564391,7.810141521,"","",NA,NA,"",""
"866","Cluster_0866",278.1415297,10.209374,"","",NA,NA,"C15H21NO4|C12H25NO4S|C9H22N5O3P|C8H21N7O2S|C11H24N2O4P|C10H23N4O3S|C16H17N5|C5H17N11O3|C8H23N7P2|C18H19N2O","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"867","Cluster_0867",278.1399342,9.465187116,"","",NA,NA,"",""
"868","Cluster_0868",278.1041252,8.105491999,"","",NA,NA,"",""
"869","Cluster_0869",278.0916179,2.361489771,"","",NA,NA,"",""
"870","Cluster_0870",278.1041252,8.105491999,"","",NA,NA,"",""
"871","Cluster_0871",278.1399342,9.465187116,"","",NA,NA,"",""
"872","Cluster_0872",278.1399342,9.4639755,"","",NA,NA,"",""
"873","Cluster_0873",278.1415297,10.21038296,"","",NA,NA,"",""
"874","Cluster_0874",278.1037785,7.185273286,"","",NA,NA,"C14H17NO5|C10H20N2O5P|C8H18N5O4P|C12H15N4O4|C9H19N4O4S|C7H17N7O3S|C13H18N3O2P|C12H23O3S2|C17H15N2O2|C6H16N8O3P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"875","Cluster_0875",278.1042007,7.327183154,"","",NA,NA,"C14H17NO5|C10H20N2O5P|C12H15N4O4|C8H18N5O4P|C13H18N3O2P|C15H13N5O|C17H15N2O2|C13H11N8|C9H14N9P|C11H16N6OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"876","Cluster_0876",279.0604297,10.00787719,"","",NA,NA,"C16H12N2OS|C8H8N8O4|C14H17O2PS|C12H15N3OPS|C6H13N6O5P|C10H10N5O5|C12H12N2O6|C8H18N4OP2S|C7H12N4O8|C9H14NO9","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"877","Cluster_0877",279.0400182,1.290376074,"","",NA,NA,"C8H13N2O7P|C9H9N6O3P|C7H12N4O6S|C15H8N2O4|C7H14N4O4P2|C12H10NO7|C11H11N3O4P|C9H14NO7S|C5H10N7O5S|C6H11N5O6P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"878","Cluster_0878",279.0863553,5.691647613,"","",NA,NA,"C10H12N6O4|C8H17N4O5P|C12H14N3O5|C7H16N6O4S|C6H15N7O4P|C10H20N2O3S2|C5H14N9O3S|C9H13N8OP|C15H12N4O2|C4H13N10O3P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"879","Cluster_0879",279.0999693,5.913043109,"","",NA,NA,"C13H16N2O5|C9H19N3O5P|C8H18N5O4S|C12H17N4O2P|C6H16N8O3S|C11H14N5O4|C16H14N3O2|C11H21O6P|C8H20N5O2P2|C10H20N2O5S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"880","Cluster_0880",279.1362672,5.274300987,"","",NA,NA,"",""
"881","Cluster_0881",279.0863553,5.691647613,"","",NA,NA,"",""
"882","Cluster_0882",279.0396851,0.902638809,"","",NA,NA,"C9H13ClN2O6|C6H16Cl2N3O5|C5H16ClN3O6P|C10H9ClN6O2|C7H12Cl2N7O|C6H12ClN7O2P|C5H10Cl2N10|C2H15ClN8O2P2|C3H15Cl2N8OP|C11H20ClP3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"883","Cluster_0883",279.1361166,5.141859911,"","",NA,NA,"C14H20N2O4|C10H23N3O4P|C7H20N8O2S|C8H21N6O3P|C9H22N5O3S|C12H25O5P|C11H24N2O4S|C12H18N5O3|C15H16N6|C13H29PS2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"884","Cluster_0884",279.1362672,5.274300987,"","",NA,NA,"",""
"885","Cluster_0885",279.0980585,3.843634078,"","",NA,NA,"",""
"886","Cluster_0886",280.9775684,5.658839955,"","",NA,NA,"C11H8O5P2|C11H6O7S|C5H4N3O11|C12H2N4O3S|C4H6N6O5S2|CH7N4O11P|C7H9NO7PS|C8H5N5O3PS|C12H10O2S3|C3H2N6O10","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"887","Cluster_0887",280.9839589,11.22437709,"","",NA,NA,"C14H6N2OS2|C4H12O10P2|C5H8N4O6P2|C5H6N4O8S|C6H7N2O9P|C15H7O2PS|C6H10N4O3S3|C13H2N2O6|C4H10O12S|C11H7O7P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"888","Cluster_0888",280.9841637,11.36239817,"","",NA,NA,"C5H8N4O6P2|C4H12O10P2|C7H3N6O5P|C5H6N4O8S|C6H10N4O3S3|C14H6N2OS2|C13H2N2O6|C6H7N2O9P|C11H7O7P|C9H5N3O6P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"889","Cluster_0889",280.9839249,11.50744095,"","",NA,NA,"C5H8N4O6P2|C7H3N6O5P|C4H12O10P2|C5H6N4O8S|C4H7N6O5PS|C11H7O7P|C4H10O12S|C6H10N4O3S3|C6H7N2O9P|C14H6N2OS2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"890","Cluster_0890",280.9840407,10.6419462,"","",NA,NA,"C13H2N2O6|C4H12O10P2|C5H6N4O8S|C6H10N4O3S3|C11H7O7P|C5H8N4O6P2|C14H6N2OS2|C4H10O12S|C7H3N6O5P|C6H7N2O9P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"891","Cluster_0891",280.9840842,10.81004226,"","",NA,NA,"C14H6N2OS2|C4H12O10P2|C5H8N4O6P2|C5H6N4O8S|C6H10N4O3S3|C4H10O12S|C13H2N2O6|C11H7O7P|C6H7N2O9P|C3H11N2O9PS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"892","Cluster_0892",280.9839728,13.02091207,"","",NA,NA,"C13H2N2O6|C4H12O10P2|C5H6N4O8S|C4H10O12S|C5H8N4O6P2|C6H10N4O3S3|C11H7O7P|C14H6N2OS2|C7H3N6O5P|C6H7N2O9P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"893","Cluster_0893",280.9840185,13.15243421,"","",NA,NA,"C4H12O10P2|C5H8N4O6P2|C5H6N4O8S|C6H7N2O9P|C6H10N4O3S3|C4H10O12S|C13H2N2O6|C14H6N2OS2|C11H7O7P|C7H3N6O5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"894","Cluster_0894",281.115699,1.395919826,"","",NA,NA,"C9H21N3O5P|C6H18N8O3S|C7H19N6O4P|C8H20N5O4S|C11H23O6P|C14H14N6O|C13H18N2O5|C12H19N4O2P|C4H16N11O2S|C10H22N2O5S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"895","Cluster_0895",281.0901741,4.711242524,"","",NA,NA,"C9H19N2O6P|C13H16NO6|C7H17N5O5P|C11H14N4O5|C12H10N8O|C10H18O9|C10H15N6O2P|C6H16N7O4S|C12H18N4S2|C11H22O4S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"896","Cluster_0896",281.1004498,8.336282359,"","",NA,NA,"C14H18O6|C11H23O4PS|C10H22N2O3S2|C10H14N6O4|C5H16N9O3S|C12H16N3O5|C9H18N2O8|C11H10N10|C3H14N12O2S|C18H18OS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"897","Cluster_0897",281.1158504,3.278853246,"","",NA,NA,"C13H18N2O5|C9H21N3O5P|C6H18N8O3S|C7H19N6O4P|C11H23O6P|C14H14N6O|C4H16N11O2S|C8H20N5O4S|C10H22N2O5S|C10H17N7OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"898","Cluster_0898",281.177614,11.72471174,"","",NA,NA,"C16H26O4|C12H29NO4P|C11H28N3O3S|C9H26N6O2S|C15H27N2OP|C19H24NO|C11H30N3OP2|C6H22N10O3|C17H22N4|C2H18N16O","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"899","Cluster_0899",281.2483935,20.16417226,"","",NA,NA,"C18H34O2|C14H30N6|C16H32N3O","[M - H]-|[M - H]-|[M - H]-"
"900","Cluster_0900",281.2480647,15.20968057,"","",NA,NA,"",""
"901","Cluster_0901",281.2484615,19.09248564,"","",NA,NA,"C18H34O2|C14H30N6|C16H32N3O","[M - H]-|[M - H]-|[M - H]-"
"902","Cluster_0902",282.0858162,2.099474291,"","",NA,NA,"C10H13N5O5|C11H9N9O|C8H18N3O6P|C12H15N2O6|C15H13N3O3|C9H14N7O2P|C13H11N6O2|C7H17N5O5S|C6H16N6O5P|C8H11N8O4","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"903","Cluster_0903",282.0843282,2.392124671,"","",NA,NA,"C10H13N5O5|C11H9N9O|C6H9N11O3|C10H21NO4S2|C11H17N5S2|C6H16N6O5P|C4H14N9O4P|C8H11N8O4|C9H22N3OPS2|C9H17NO9","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"904","Cluster_0904",282.2083872,14.25696275,"","",NA,NA,"C16H29NO3|C14H27N4O2|C15H30N3P|C19H27N2|C7H27N10S|C2H21N17|C4H23N14O","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"905","Cluster_0905",282.9836191,11.98128662,"","",NA,NA,"C5H10N4O4P2S|C3H5N6O8P|C7H2N5O8|C8H6N5O3S2|C5H7N3O9P|C4H9N6O3PS2|C4HN10O4P|C9H4N2O9|C4H6N5O8S|C6H3N7O5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"906","Cluster_0906",283.1162646,8.356327611,"","",NA,NA,"C14H20O6|C11H25O4PS|C10H16N6O4|C9H20N2O8|C11H12N10|C8H21N4O5P|C10H24N2O3S2|C12H18N3O5|C18H20OS|C11H27O2P3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"907","Cluster_0907",283.1163076,8.512595221,"","",NA,NA,"C14H20O6|C11H25O4PS|C10H16N6O4|C9H20N2O8|C8H21N4O5P|C11H12N10|C10H24N2O3S2|C18H20OS|C12H18N3O5|C11H27O2P3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"908","Cluster_0908",283.264207,20.01537274,"","",NA,NA,"C18H36O2|C14H32N6|C16H34N3O","[M - H]-|[M - H]-|[M - H]-"
"909","Cluster_0909",284.0516375,8.2069312,"","",NA,NA,"",""
"910","Cluster_0910",284.0516375,8.209263083,"","",NA,NA,"C12H16NO3PS|C8H9N6O6|C4H12N7O6P|C16H13O3S|C10H14N4O2PS|C8H17N2O5S2|C6H17N5O2P2S|C8H19N2O3P2S|C10H11N3O7|C9H20O4P3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"911","Cluster_0911",284.1879301,12.458346,"","",NA,NA,"C15H27NO4|C13H25N4O3|C16H23N5|C18H25N2O|C14H28N3OP|C6H25N10OS|CH19N17O|C12H26N6P|C3H21N14O2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"912","Cluster_0912",284.1878334,12.43335261,"","",NA,NA,"",""
"913","Cluster_0913",284.1878715,12.10725798,"","",NA,NA,"C15H27NO4|C16H23N5|CH19N17O|C13H25N4O3|C18H25N2O|C14H28N3OP|C6H25N10OS|C12H26N6P|C3H21N14O2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"914","Cluster_0914",284.2239816,13.02661343,"","",NA,NA,"C16H31NO3|C14H29N4O2|C15H32N3P|C19H29N2|C4H25N14O|C2H23N17","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"915","Cluster_0915",285.0599983,2.635436947,"","",NA,NA,"C12H14O8|C8H10N6O6|C6H15N4O7P|C7H14N2O10|C10H12N3O7|C8H18N2O5S2|C5H14N6O6S|C9H21O4P3|C9H6N10O2|C8H17NO8P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"916","Cluster_0916",285.1837527,8.970094562,"","",NA,NA,"C14H26N2O4|C19H26O2|C15H22N6|C13H27N4OP|C17H24N3O|C4H22N12O3|C5H24N11OS|C11H25N7P|C15H29NO2P|C16H31PS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"917","Cluster_0917",285.1835458,9.150642224,"","",NA,NA,"C14H26N2O4|C19H26O2|C15H22N6|C13H27N4OP|C17H24N3O|C5H24N11OS|C11H25N7P|C16H31PS|C15H29NO2P|H18N18O","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"918","Cluster_0918",285.172011,8.7162315,"","",NA,NA,"",""
"919","Cluster_0919",285.1716372,11.60514504,"","",NA,NA,"C10H26N3O4S|C11H27NO5P|C8H24N6O3S|C15H24O5|C16H20N4O|C8H26N6OP2|C14H25N2O2P|C16H28S2|CH16N16O2|C13H24N4OS","[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+"
"920","Cluster_0920",285.1058128,1.169164697,"","",NA,NA,"",""
"921","Cluster_0921",285.1719672,8.729472845,"","",NA,NA,"",""
"922","Cluster_0922",285.9479929,5.503216465,"","",NA,NA,"C3H6N5O5PS2|C8HNO11|C2H2N5O10P|C12H3NO4P2|C4H4N2O11P|C4H7N3O6P2S|C2H7O14S|C6H9O7P2S|CHN7O9S|C6H11BrNO5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"923","Cluster_0923",286.0399608,8.04621965,"","",NA,NA,"",""
"924","Cluster_0924",286.1675865,11.215809,"","",NA,NA,"C15H21N5O|C14H25NO5|C13H26N3O2P|C15H29NS2|C17H23N2O2|C13H19N8|C15H28O3P|C5H23N10O2S|C9H22N9P|C10H23N8S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"925","Cluster_0925",286.1782365,4.962238716,"","",NA,NA,"C13H25N3O4|C11H23N6O3|C15H27O5|C12H26N5OP|C14H21N7|C16H23N4O|C15H30NPS|C16H31S2|C19H27S|C4H23N12OS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"926","Cluster_0926",286.0915058,5.106054606,"","",NA,NA,"C12H17NO7|C8H13N7O5|C8H21N3O4S2|C10H15N4O6|C6H18N5O6P|C7H14N9O2P|C8H20N2O7P|C9H19O10|C13H21NO2S2|C7H17N3O9","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"927","Cluster_0927",286.1783571,5.353300084,"","",NA,NA,"C13H25N3O4|C11H23N6O3|C15H27O5|C14H21N7|C12H26N5OP|C16H23N4O|C16H31S2|C15H30NPS|C19H27S|C4H23N12OS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"928","Cluster_0928",286.1782527,6.168822212,"","",NA,NA,"C13H25N3O4|C11H23N6O3|C15H27O5|C12H26N5OP|C16H23N4O|C14H21N7|C15H30NPS|C16H31S2|C19H27S|C10H24N8P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"929","Cluster_0929",286.1782299,6.981244299,"","",NA,NA,"",""
"930","Cluster_0930",286.1783591,6.899309679,"","",NA,NA,"",""
"931","Cluster_0931",286.1782299,6.981244299,"","",NA,NA,"",""
"932","Cluster_0932",286.1782981,5.611103737,"","",NA,NA,"",""
"933","Cluster_0933",286.1782365,4.9631816,"","",NA,NA,"",""
"934","Cluster_0934",286.1782981,5.611103737,"","",NA,NA,"",""
"935","Cluster_0935",286.1677281,8.2008569,"","",NA,NA,"",""
"936","Cluster_0936",286.1677281,8.200206918,"","",NA,NA,"",""
"937","Cluster_0937",286.2038234,10.59481785,"","",NA,NA,"C15H29NO4|C16H25N5|C13H27N4O3|C14H30N3OP|C18H27N2O|CH21N17O|C3H23N14O2|C12H28N6P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"938","Cluster_0938",286.2038315,10.63582446,"","",NA,NA,"",""
"939","Cluster_0939",286.9235469,1.266482111,"","",NA,NA,"",""
"940","Cluster_0940",286.9776826,10.97386007,"","",NA,NA,"C20O3|C13H10O3Se|C4H10N4O5P2S|C8H4N2O10|C4H8N4O7S2|C12H4N2O5S|C5H11N2O6P3|C5H6NO13|C4N8O8|C5H4N8O3S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"941","Cluster_0941",286.9777712,11.38678924,"","",NA,NA,"C20O3|C4H8N4O7S2|C5H12N4O2S4|C5H4N8O3S2|C12H4N2O5S|C4H10N4O5P2S|C4N8O8|C5H6NO13|C2H5N6O9P|C10H9O6PS","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"942","Cluster_0942",287.1259947,5.254171185,"","",NA,NA,"C11H21N4O3P|C12H20N2O6|C8H23N3O6P|C10H18N5O5|C15H18N3O3|C13H16N6O2|C7H22N5O5S|C9H19N7O2P|C5H20N8O4S|C7H24N5O3P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"943","Cluster_0943",287.1262003,7.325171811,"","",NA,NA,"C12H20N2O6|C9H23ClN3O5|C8H23N3O6P|C10H18N5O5|C11H21N4O3P|C13H16N6O2|C5H20N8O4S|C7H22N5O5S|C15H18N3O3|C12H21ClN4O2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"944","Cluster_0944",287.1262003,7.325171811,"","",NA,NA,"",""
"945","Cluster_0945",287.1260996,7.4509599,"","",NA,NA,"",""
"946","Cluster_0946",287.9618616,6.094876065,"","",NA,NA,"C4H9N3O6P2S|C5H11N3O3S4|C5H5O14|C8H6N2O6PS|C2H4N5O10P|C6HN4O10|C12H3NO6S|C5H3N7O4S2|C12H5NO4P2|C6H9O9S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"947","Cluster_0947",288.0343604,10.75204628,"","",NA,NA,"C7H11N7O2S2|C14H11NO4S|C8H9N4O8|C7H3N11O3|C6H7N7O7|C6H17N3O4P2S|C10H14N2O4PS|C4H12N5O8P|C7H13O12|C14H13NO2P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"948","Cluster_0948",288.1579884,4.73003894,"","",NA,NA,"",""
"949","Cluster_0949",288.1578391,5.140001364,"","",NA,NA,"",""
"950","Cluster_0950",288.1102325,6.332754137,"","",NA,NA,"",""
"951","Cluster_0951",288.1578517,5.483935211,"","",NA,NA,"C12H23N3O5|C14H25O6|C13H19N7O|C15H29OS2|C9H22N8OP|C11H24N5O2P|C15H21N4O2|C10H21N6O4|C17H23NO3|C13H27N3S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"952","Cluster_0952",288.1557747,5.626440135,"","",NA,NA,"",""
"953","Cluster_0953",288.1579855,5.770546732,"","",NA,NA,"C12H23N3O5|C10H21N6O4|C11H24N5O2P|C14H25O6|C13H19N7O|C15H21N4O2|C15H29OS2|C17H23NO3|C9H22N8OP|C13H27N3S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"954","Cluster_0954",288.1578443,5.90363337,"","",NA,NA,"C12H23N3O5|C14H25O6|C13H19N7O|C11H24N5O2P|C15H21N4O2|C15H29OS2|C9H22N8OP|C17H23NO3|C10H21N6O4|C13H27N3S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"955","Cluster_0955",288.1579884,4.73003894,"","",NA,NA,"C12H23N3O5|C10H21N6O4|C13H19N7O|C14H25O6|C11H24N5O2P|C9H22N8OP|C17H23NO3|C13H27N3S2|C15H29OS2|C15H21N4O2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"956","Cluster_0956",288.1579975,6.095089669,"","",NA,NA,"",""
"957","Cluster_0957",288.1102325,6.332754137,"","",NA,NA,"",""
"958","Cluster_0958",288.1559589,5.058628435,"","",NA,NA,"C12H23N3O5|C14H25O6|C8H19N9O3|C10H21N6O4|C13H19N7O|C15H29OS2|C13H27N3S2|C16H23N3S|C14H28NOPS|C3H21N12O2S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"959","Cluster_0959",288.1578391,5.140001364,"","",NA,NA,"",""
"960","Cluster_0960",288.1559527,5.27174974,"","",NA,NA,"",""
"961","Cluster_0961",288.1557747,5.626440135,"","",NA,NA,"",""
"962","Cluster_0962",288.8781561,1.217405,"","",NA,NA,"C3H5BrN2O5P2|C5H5BrCl2N2O3|C3O12P2|C5Cl2O10|C4H4BrO8P|C4ClO11P|C3H7Cl3O5P2|C5BrN4O4P|C5H4BrClO7|C10H2Cl3O2P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"963","Cluster_0963",288.9459317,5.171005009,"","",NA,NA,"",""
"964","Cluster_0964",289.0822358,9.724177733,"","",NA,NA,"",""
"965","Cluster_0965",289.0822358,9.724177733,"","",NA,NA,"",""
