Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_2206,506.3245288,6.230650961,,,,,Yes,no,GPNAE(15:0)+C5H8,C25H50NO7P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.06234369999999,3
Cluster_2220,508.2668415,5.649742478,,,,,No,no,GPNAE(17:1)+CO2,C23H44NO9P,Cluster_1749,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.988824799999975,1
Cluster_2285,514.2873816,2.74164317,,,,,Yes,yes,GPNAE(16:3)+C5H8,C26H46NO7P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.0564048,3
Cluster_2286,514.3024018,3.457154146,,,,,No,yes,GPNAE(16:3)+C5H8,C26H46NO7P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.07142499999998,3
Cluster_2300,516.2357931,5.067832918,,,,,Yes,yes,GPNAE(18:4)+CO2,C24H40NO9P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.9893457,1
Cluster_2302,516.2664094,2.5804869,,,,,No,yes,GPNAE(18:4)+C2H4O,C25H44NO8P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:C2H4O; homol HSID:NA; homol RT:NA,NA,-44.01996200000002,3
Cluster_2304,516.2788608,5.516723312,,,,,No,yes,GPNAE(18:4)+C2H4O,C25H44NO8P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:C2H4O; homol HSID:NA; homol RT:NA,NA,-44.03241339999994,3
Cluster_2305,516.2754914,5.627618992,,,,,No,yes,GPNAE(18:4)+C2H4O,C25H44NO8P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:C2H4O; homol HSID:NA; homol RT:NA,NA,-44.02904399999994,3
Cluster_2322,518.2554913,2.853494463,,,,,No,yes,GPNAE(18:3)+CO2,C24H42NO9P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.993001100000015,1
Cluster_2323,518.2505397,5.2598103,,,,,Yes,yes,GPNAE(18:3)+CO2,C24H42NO9P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.98804949999999,1
